Timestamp,Action,API_Hits,Tokens_Generated,Time_Taken(seconds)
2025-04-28T11:24:18.093098,Gemini_API_Call,1,14,1.98
2025-04-28T11:24:18.101268,Generate_Question_1,1,14,1.98
2025-04-28T11:24:18.742865,Gemini_API_Call,1,18,0.64
2025-04-28T11:24:18.742865,Generate_Question_2,1,18,0.64
2025-04-28T11:24:20.087888,Gemini_API_Call,1,22,1.35
2025-04-28T11:24:20.091228,Generate_Question_3,1,22,1.35
2025-04-28T11:24:21.787708,ElevenLabs_TTS_HTTP,1,14,1.29
2025-04-29T15:29:35.975672,YouTube_Transcript,1,1421,0.95
2025-04-29T15:29:42.265085,YouTube_Transcript,1,1421,1.17
2025-04-29T15:29:50.256624,Generate_Summary,1,1126,7.98
2025-04-29T15:29:50.260659,youtube_insights,1,1126,7.98
2025-04-29T15:31:50.362526,YouTube_Transcript,1,1421,1.15
2025-04-29T15:31:54.149291,YouTube_Transcript,1,1421,1.21
2025-04-29T15:32:02.438518,Generate_Summary,1,1183,8.28
2025-04-29T15:32:02.445779,youtube_insights,1,1183,8.29
2025-04-29T15:35:22.900093,YouTube_Transcript,1,1421,0.92
2025-04-29T15:35:26.212710,YouTube_Transcript,1,1421,1.16
2025-04-29T15:35:34.969723,Generate_Summary,1,1410,8.75
2025-04-29T15:35:34.969723,youtube_insights,1,1410,8.76
2025-04-29T15:39:40.180735,YouTube_Transcript,1,1421,1.19
2025-04-29T15:39:44.244510,YouTube_Transcript,1,1421,1.13
2025-04-29T15:39:52.002659,Generate_Summary,1,1044,7.75
2025-04-29T15:39:52.004586,youtube_insights,1,1044,7.76
2025-04-29T15:41:00.513277,YouTube_Transcript,1,1421,1.72
2025-04-29T15:41:03.633634,YouTube_Transcript,1,1421,1.38
2025-04-29T15:41:11.327769,Generate_Summary,1,1144,7.69
2025-04-29T15:41:11.336135,youtube_insights,1,1144,7.69
2025-04-29T15:42:09.785948,YouTube_Transcript,1,1421,1.62
2025-04-29T15:42:14.091723,YouTube_Transcript,1,1421,1.15
2025-04-29T15:42:24.040050,Generate_Summary,1,1689,9.94
2025-04-29T15:42:24.050192,youtube_insights,1,1689,9.95
2025-04-29T15:48:04.084478,YouTube_Transcript,1,1421,1.13
2025-04-29T15:48:11.274009,YouTube_Transcript,1,1421,1.26
2025-04-29T15:48:19.133680,Generate_Summary,1,1038,7.85
2025-04-29T15:48:19.141616,youtube_insights,1,1038,7.86
2025-04-29T15:53:59.787952,YouTube_Transcript,1,1421,1.06
2025-04-29T15:54:04.242139,YouTube_Transcript,1,1421,1.13
2025-04-29T15:54:11.554549,Generate_Summary,1,969,7.30
2025-04-29T15:54:11.559165,youtube_insights,1,969,7.31
2025-04-29T15:56:06.822053,YouTube_Transcript,1,1421,1.44
2025-04-29T15:56:11.627074,YouTube_Transcript,1,1421,1.43
2025-04-29T15:56:19.644417,Generate_Summary,1,1333,8.01
2025-04-29T15:56:19.648964,youtube_insights,1,1333,8.02
